id,label,tweet
1,1,Argh.. I hate my life
2,0,I'm good
3,0,Enjoy my life
4,0,RT : I do what I want
5,1,My life is just a series of unfortunate fucked up events @margaretkuta @mwrighht
6,0,Im tryna become better everyday I open my eyes.... Starting to really understand LIFE IS AMAZING
7,1,RT : I hate how much I over-think at night
8,1,RT @sydthekid_15: I just want to be genuinely happy
9,1,My life is one big mess
10,0,oh I have lol I just eventually get what I want though
11,1,RT : I hate how much I over-think at night
12,1,I swear this fucking shit for me
13,1,yup i hate my life
14,1,RT @_misterCT Being single Sucks... I ain't bout this life no more _
15,1,I have the worst headache ever imaginable
16,1,Why don't I have a life
17,1,WHY DO I SUCK AT LIFE
18,1,Having a broken finger for the rest of my life sucks
19,1,I wish I can say I am happy
20,0,I do what i want to
21,1,"I wanted a change, lil nigga"
22,1,I wish.… I was different
23,1,RT : My life is perfectly terrible
24,0,Soo happy! With my life with you with everything!_ #couldntaskformore
25,0,RT : i do what i want
26,0,I love how I can only trust 2 people in my life❤ that's all I need
27,0,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life"
28,0,RT : To stressed to see that I'm blessed
29,1,I've never been so disappointed in my life
30,0,I'm such a GOOD PERSON ❤❤ ! #SeriousTweet
31,0,I do what I want
32,1,RT : I ONLY ATTRACT WEIRD PEOPLE I HATE MY LIFE
33,1,RT : I need more positive people in my life
34,0,I love the way I feel around you
35,1,I hate my life! Hahahah.
36,1,Story of my pathetic life ___ http://t.co/cQ5jQMYF
37,0,"So happy, I couldn't be any happier"
38,0,Life ain't always beautiful but I know I'll be fine
39,1,lmao yeah I know sucks for me .. 😒😒😒
40,1,I feel so stupid I could kill myself
41,0,RT : I am so blessed & thankful
42,0,I'm a good fucking girl sheesh
43,0,I'm happy so Idc
44,0,And I wouldn't change a thing
45,1,RT @crazy_steve123: I'm sick of always feeling sad
46,0,I'm in Love
47,1,I'm a crazy ass depressed uglass lil girl.. Damn shame
48,0,RT @Life_Affirming: I begin a new positive chapter in my life everyday. #affirmation
49,0,But I'm still a good person so idc- hahaha
50,0,I wouldn't change the past if I could
51,0,Cause I'm the best
52,0,I'm blessed
53,0,LIFE is beautiful...i tend to live it to the fullest
54,1,RT : My life is a joke
55,1,I'm sad
56,1,"I live a sad, sad life"
57,1,My life is so hard http://t.co/2stF6Yo2
58,0,"I'm very proud of myself for remaining drug-free and excluding alcohol from my life, all together"
59,1,My life is so hard http://t.co/2stF6Yo2
60,0,I feel good
61,0,😓omg i know platforms for life but I have my days ok
62,0,Talkin bout I'm black but I'm blessed.
63,0,I feel like a good person
64,0,Live my life with no regrets
65,0,RT @tylerwhite_3: Damn right I love the life I live
66,0,RT : I'm so happy
67,0,So happy I have the friends I do.
68,1,Young and I'm living shit. *dougies
69,1,I have the worst headache ever
70,0,I feel so good
71,0,My life might I have sum ups and downs but the end of day I love my life. I wouldn't change a thing
72,0,I know what I want.
73,1,"RT @LaraJackilara13: I just want to be happy, just wanted to be happy"
74,0,I got that good love girl you didn't know
75,0,I do what I want
76,1,i want to be happy again
77,1,RT : I feel like a disappointment to my parents
78,0,I'm happy happy happy  __ #lovinglife
79,1,RT @Bink_iEE: I'm Depressed
80,0,I'm just blessed that's all
81,1,I'm stressed
82,0,Happy to be where I am at this point of time in my life
